team,G,PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,SBAPct,PO_mean,A_mean,TC_mean,E_mean,CI_mean,PB_mean,SBA_mean,CSB_mean,IDP_mean,TP_mean,SBAPct_mean,fld_pct
Southwest (NM),2,47,17,67,3,0,0,6,1,3,0,1.83,1.52,0.55,2.16,0.1,0.0,0.0,0.19,0.03,0.1,0.0,0.06,0.96
St. Bonaventure,9,227,68,308,13,0,3,22,10,9,0,5.83,2.47,0.74,3.35,0.14,0.0,0.03,0.24,0.11,0.1,0.0,0.06,0.96
St. John's (NY),14,346,112,466,8,0,3,26,6,18,0,8.35,2.58,0.84,3.48,0.06,0.0,0.02,0.19,0.04,0.13,0.0,0.06,0.98
St. Thomas (MN),12,265,85,367,17,0,1,48,5,17,0,11.2,2.04,0.65,2.82,0.13,0.0,0.01,0.37,0.04,0.13,0.0,0.09,0.95
Stanford,7,183,58,246,5,0,2,6,2,16,0,3.5,2.26,0.72,3.04,0.06,0.0,0.02,0.07,0.02,0.2,0.0,0.04,0.98
Stetson,51,1279,387,1712,46,1,7,67,13,57,0,26.97,2.24,0.68,2.99,0.08,0.0,0.01,0.12,0.02,0.1,0.0,0.05,0.97
Stonehill,1,27,8,36,1,0,0,0,0,3,0,0.0,3.0,0.89,4.0,0.11,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.97
Stony Brook,1,27,8,39,4,0,0,2,1,0,0,1.5,1.8,0.53,2.6,0.27,0.0,0.0,0.13,0.07,0.0,0.0,0.1,0.9
TCU,23,587,197,799,15,0,7,25,7,71,0,12.85,2.42,0.81,3.29,0.06,0.0,0.03,0.1,0.03,0.29,0.0,0.05,0.98
Tarleton St.,9,235,82,327,10,0,1,7,1,23,0,3.5,2.64,0.92,3.67,0.11,0.0,0.01,0.08,0.01,0.26,0.0,0.04,0.97
Tennessee,53,1392,409,1828,27,0,5,57,15,63,0,28.8,2.25,0.66,2.95,0.04,0.0,0.01,0.09,0.02,0.1,0.0,0.05,0.99
Tennessee Tech,13,319,101,432,12,0,0,13,5,22,0,7.67,2.36,0.75,3.2,0.09,0.0,0.0,0.1,0.04,0.16,0.0,0.06,0.97
