game_id,error
6509141,"Page.goto: Target page, context or browser has been closed"
6509142,"Page.goto: Target page, context or browser has been closed"
6509144,"Page.goto: Target page, context or browser has been closed"
6509145,"Page.goto: Target page, context or browser has been closed"
6509146,"Page.goto: Target page, context or browser has been closed"
6509150,"Page.goto: Target page, context or browser has been closed"
6509155,"Page.goto: Target page, context or browser has been closed"
6509156,"Page.goto: Target page, context or browser has been closed"
6509158,"Page.goto: Target page, context or browser has been closed"
6509160,"Page.goto: Target page, context or browser has been closed"
6509161,"Page.goto: Target page, context or browser has been closed"
6509163,"Page.goto: Target page, context or browser has been closed"
6509165,"Page.goto: Target page, context or browser has been closed"
6509166,"Page.goto: Target page, context or browser has been closed"
6509169,"Page.goto: Target page, context or browser has been closed"
6509172,"Page.goto: Target page, context or browser has been closed"
6509175,"Page.goto: Target page, context or browser has been closed"
6509183,"Page.goto: Target page, context or browser has been closed"
6509184,"Page.goto: Target page, context or browser has been closed"
6509186,"Page.goto: Target page, context or browser has been closed"
6509188,"Page.goto: Target page, context or browser has been closed"
6509189,"Page.goto: Target page, context or browser has been closed"
6509190,"Page.goto: Target page, context or browser has been closed"
6509192,"Page.goto: Target page, context or browser has been closed"
6509194,"Page.goto: Target page, context or browser has been closed"
6509195,"Page.goto: Target page, context or browser has been closed"
6509196,"Page.goto: Target page, context or browser has been closed"
6509198,"Page.goto: Target page, context or browser has been closed"
6509199,"Page.goto: Target page, context or browser has been closed"
6509201,"Page.goto: Target page, context or browser has been closed"
6509203,"Page.goto: Target page, context or browser has been closed"
6509204,"Page.goto: Target page, context or browser has been closed"
6509205,"Page.goto: Target page, context or browser has been closed"
6509207,"Page.goto: Target page, context or browser has been closed"
6509208,"Page.goto: Target page, context or browser has been closed"
6509210,"Page.goto: Target page, context or browser has been closed"
6509211,"Page.goto: Target page, context or browser has been closed"
6509213,"Page.goto: Target page, context or browser has been closed"
6509214,"Page.goto: Target page, context or browser has been closed"
6509215,"Page.goto: Target page, context or browser has been closed"
6509216,"Page.goto: Target page, context or browser has been closed"
6509217,"Page.goto: Target page, context or browser has been closed"
6509218,"Page.goto: Target page, context or browser has been closed"
6509219,"Page.goto: Target page, context or browser has been closed"
6509221,"Page.goto: Target page, context or browser has been closed"
6509222,"Page.goto: Target page, context or browser has been closed"
6509223,"Page.goto: Target page, context or browser has been closed"
6509224,"Page.goto: Target page, context or browser has been closed"
6509225,"Page.goto: Target page, context or browser has been closed"
6509226,"Page.goto: Target page, context or browser has been closed"
6509227,"Page.goto: Target page, context or browser has been closed"
6509228,"Page.goto: Target page, context or browser has been closed"
6509230,"Page.goto: Target page, context or browser has been closed"
6509231,"Page.goto: Target page, context or browser has been closed"
6509232,"Page.goto: Target page, context or browser has been closed"
6509233,"Page.goto: Target page, context or browser has been closed"
6509234,"Page.goto: Target page, context or browser has been closed"
6509235,"Page.goto: Target page, context or browser has been closed"
6509236,"Page.goto: Target page, context or browser has been closed"
6509237,"Page.goto: Target page, context or browser has been closed"
6509239,"Page.goto: Target page, context or browser has been closed"
6509241,"Page.goto: Target page, context or browser has been closed"
6509242,"Page.goto: Target page, context or browser has been closed"
6509244,"Page.goto: Target page, context or browser has been closed"
6509245,"Page.goto: Target page, context or browser has been closed"
6509246,"Page.goto: Target page, context or browser has been closed"
6509247,"Page.goto: Target page, context or browser has been closed"
6509248,"Page.goto: Target page, context or browser has been closed"
6509249,"Page.goto: Target page, context or browser has been closed"
6509250,"Page.goto: Target page, context or browser has been closed"
6509251,"Page.goto: Target page, context or browser has been closed"
6509252,"Page.goto: Target page, context or browser has been closed"
6509253,"Page.goto: Target page, context or browser has been closed"
6509254,"Page.goto: Target page, context or browser has been closed"
6509587,"Page.goto: Target page, context or browser has been closed"
6509589,"Page.goto: Target page, context or browser has been closed"
6509591,"Page.goto: Target page, context or browser has been closed"
6509594,"Page.goto: Target page, context or browser has been closed"
6509596,"Page.goto: Target page, context or browser has been closed"
6509597,"Page.goto: Target page, context or browser has been closed"
6509601,"Page.goto: Target page, context or browser has been closed"
6509602,"Page.goto: Target page, context or browser has been closed"
6509603,"Page.goto: Target page, context or browser has been closed"
6509604,"Page.goto: Target page, context or browser has been closed"
6509605,"Page.goto: Target page, context or browser has been closed"
6509606,"Page.goto: Target page, context or browser has been closed"
6509607,"Page.goto: Target page, context or browser has been closed"
6509608,"Page.goto: Target page, context or browser has been closed"
6509610,"Page.goto: Target page, context or browser has been closed"
6509615,"Page.goto: Target page, context or browser has been closed"
6509619,"Page.goto: Target page, context or browser has been closed"
6509622,"Page.goto: Target page, context or browser has been closed"
6509625,"Page.goto: Target page, context or browser has been closed"
